あ、珍しい。,どうも。
どうも。,こんにちは。
何しにこのスーパーに来たの？,食材の買い出し。
食材の買い出し。,料理出来るの？
料理出来るの？,多少は出来るよ。
多少は出来るよ。,凄い。
凄い。,それほどでも。
何を作るの？,カレー。
カレーを作る。,へぇ。
カレーの具はどうするの？,豚肉とかじゃがいもとか。
豚肉とかじゃがいもとか。,定番だね。
定番だね。,外れがないからな。
そっちは何を買いに来たんだ？,お菓子。
お菓子を買いに来た。,おやつか。
おやつを買いに来たのか。,そう、悪い？
そう、悪い？,別に悪いとは言っていない。
別に悪いとは言っていない。,なら良い。
何買ったの？,チョコレートとかクッキー。
チョコレートとかクッキー。,定番だな。
定番だな。,外れがないからね。
手伝おうか？,じゃあ豚肉を持ってきて。
じゃあ豚肉を持ってきて。,了解。
特売の奴で良いの？,おう、それで良いよ。
おう、それで良いよ。,わかった。
じゃあ行ってきます。,よろしく。
持ってきたよ。,どうもありがとう。
どうもありがとう。,どういたしまして。
じゃあ私はこれで。,忘れている物は？
忘れている物は？,大丈夫。
それじゃあまた。,おう。
